epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
44,13282.6,0.19712,0.93628,1,0.21818,0.005743,0.005743,0.005743
45,13588.3,0.19514,0.93657,1,0.21913,0.005644,0.005644,0.005644
46,13894.6,0.18945,0.93714,1,0.21849,0.005545,0.005545,0.005545
47,14201.9,0.18399,0.93743,1,0.21873,0.005446,0.005446,0.005446
48,14508.2,0.18633,0.93657,1,0.21899,0.005347,0.005347,0.005347
49,14816.2,0.18363,0.93743,1,0.21929,0.005248,0.005248,0.005248
50,15123.9,0.18099,0.93685,1,0.219,0.005149,0.005149,0.005149
51,15431.4,0.18272,0.93628,1,0.21857,0.00505,0.00505,0.00505
52,15739.3,0.17811,0.93657,1,0.21841,0.004951,0.004951,0.004951
53,16047,0.1762,0.93743,1,0.21824,0.004852,0.004852,0.004852
54,16355.8,0.17066,0.93685,1,0.21982,0.004753,0.004753,0.004753
55,16665.1,0.17464,0.93743,1,0.2183,0.004654,0.004654,0.004654
56,16973.5,0.17117,0.93599,1,0.21869,0.004555,0.004555,0.004555
57,17283.3,0.15981,0.93685,1,0.21803,0.004456,0.004456,0.004456
58,17630.2,0.15792,0.93714,1,0.2174,0.004357,0.004357,0.004357
59,17968.2,0.15987,0.93714,1,0.21748,0.004258,0.004258,0.004258
60,18279.6,0.14531,0.93657,1,0.21699,0.004159,0.004159,0.004159
61,18591.4,0.1558,0.93743,1,0.21647,0.00406,0.00406,0.00406
62,18900.9,0.14485,0.93772,1,0.21561,0.003961,0.003961,0.003961
63,19212.9,0.14912,0.93714,1,0.21561,0.003862,0.003862,0.003862
64,19523.1,0.14577,0.93772,1,0.21625,0.003763,0.003763,0.003763
65,19833.1,0.13761,0.938,1,0.21455,0.003664,0.003664,0.003664
66,20144.4,0.13183,0.93858,1,0.21549,0.003565,0.003565,0.003565
67,20455.1,0.1297,0.93944,1,0.21458,0.003466,0.003466,0.003466
68,20765.9,0.13145,0.93972,1,0.21366,0.003367,0.003367,0.003367
69,21077.6,0.12529,0.93972,1,0.21406,0.003268,0.003268,0.003268
70,21390.6,0.12683,0.94001,1,0.21398,0.003169,0.003169,0.003169
71,21701.3,0.11558,0.94001,1,0.21354,0.00307,0.00307,0.00307
72,22013.3,0.11545,0.94087,1,0.21381,0.002971,0.002971,0.002971
73,22324.7,0.11765,0.94059,1,0.21413,0.002872,0.002872,0.002872
74,22642.3,0.11212,0.94087,1,0.2145,0.002773,0.002773,0.002773
75,22957.9,0.1121,0.94145,1,0.21531,0.002674,0.002674,0.002674
76,23269.8,0.10673,0.94145,1,0.21476,0.002575,0.002575,0.002575
77,23582,0.10251,0.94087,1,0.21488,0.002476,0.002476,0.002476
78,23896,0.09738,0.9403,1,0.21468,0.002377,0.002377,0.002377
79,24209.4,0.09253,0.94087,1,0.2158,0.002278,0.002278,0.002278
80,24524.2,0.09297,0.94059,1,0.21659,0.002179,0.002179,0.002179
81,24835.4,0.09259,0.93915,1,0.21688,0.00208,0.00208,0.00208
82,25146.3,0.0851,0.9403,1,0.21752,0.001981,0.001981,0.001981
83,25459.1,0.07686,0.93972,1,0.21776,0.001882,0.001882,0.001882
84,25771.5,0.07727,0.93886,1,0.21994,0.001783,0.001783,0.001783
85,26083,0.07355,0.93915,1,0.2207,0.001684,0.001684,0.001684
86,26394.8,0.06895,0.93915,1,0.22182,0.001585,0.001585,0.001585
87,26706.9,0.06764,0.93915,1,0.22227,0.001486,0.001486,0.001486
88,27019.4,0.06317,0.94001,1,0.22227,0.001387,0.001387,0.001387
89,27333.3,0.05692,0.94087,1,0.22232,0.001288,0.001288,0.001288
90,27646.7,0.05978,0.94173,1,0.22266,0.001189,0.001189,0.001189
91,28009.6,0.05708,0.94259,1,0.22345,0.00109,0.00109,0.00109
92,28323.9,0.05064,0.94288,1,0.22326,0.000991,0.000991,0.000991
93,28639.8,0.04916,0.94317,1,0.224,0.000892,0.000892,0.000892
94,28958.5,0.04764,0.94259,1,0.22519,0.000793,0.000793,0.000793
95,29274.4,0.04597,0.94288,1,0.2256,0.000694,0.000694,0.000694
96,29588.5,0.04234,0.94317,1,0.22675,0.000595,0.000595,0.000595
97,29902.8,0.03975,0.94346,1,0.22794,0.000496,0.000496,0.000496
98,30215.1,0.03736,0.94403,1,0.22987,0.000397,0.000397,0.000397
99,30531.1,0.03645,0.94374,1,0.22945,0.000298,0.000298,0.000298
100,30892.6,0.03479,0.94374,1,0.23003,0.000199,0.000199,0.000199
